lang,label,sentence
en,ocp:play,i want to listen arijit singh song once again
en,ocp:play,i want to play that music one again
en,ocp:play,please play yesterday from beatles
en,ocp:play,start playing music from favorites
en,ocp:play,please play my best music
en,ocp:play,play a song i like
en,ocp:play,play daft punk
en,ocp:play,put on some coldplay
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,make me laugh
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,olly make me laugh
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,tell me a good joke
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,tell me a joke
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,alexa tell me a joke
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,cheer me up
en,ocp:play,play my jazz playlist
en,ocp:play,start my jazz playlist
en,ocp:play,play my favorite playlist
en,ocp:play,can you play some jazz
en,ovos-skill-hello-world.openvoiceos:Greetings.intent,how are you
en,ocp:play,turn on my michael jackson playlist
en,ocp:play,play michael jackson from my playlist
en,ocp:play,play last song from my favorite playlist
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,tell me some joke
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,do you know any joke
en,ocp:play,play me some hihop
en,ocp:play,death metal now
en,ocp:play,olly play music from my favorite pianist
en,ovos-skill-hello-world.openvoiceos:Greetings.intent,how are you doing
en,ovos-skill-hello-world.openvoiceos:Greetings.intent,morning what's up
en,ocp:play,play the track eight from google play music
en,ocp:play,play a song randomly from my playlist
en,ocp:play,please play games by disturbed
en,ocp:play,please open my music application and play games by disturbed
en,ocp:play,please play the song games by disturbed
en,ocp:play,play why do you sing by kirk franklin
en,ocp:play,play bad religion folder
en,ocp:play,play old-fashioned christmas music
en,ocp:play,i want to listen classical music
en,ocp:play,i want to listen jazz
en,ocp:play,play songs by sia
en,ocp:play,open songs by prince
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,what's a silly joke you know
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,what's a silly joke you know
en,ocp:play,play my most played songs
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,tell me random joke
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,what's your favorite joke
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,what's the funniest joke
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,tell me a dirty joke
en,ocp:play,play the playlist
en,ocp:play,hey olly play the playlist
en,ocp:play,can i get some background music
en,ocp:play,play one through ten on list
en,ocp:play,please play artist first in queue
en,ocp:play,please turn on the music i want to hear my favorites songs
en,ocp:play,can i hear the fifty hits that you can hear on radios now
en,ocp:play,please turn on classic music for the dinner now
en,ocp:play,can you turn on the hit song of lady gaga
en,ocp:play,i want to hear my favorite song from iron maiden
en,ocp:play,play playlist number seven
en,ocp:play,play songs from my playlist
en,ocp:play,play the last hit song of metallica last album please
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,what is a funny joke about car
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,tell me a joke about a man
en,ocp:play,remind me to play this song tonight
en,ocp:play,please play me a song from my favorite list
en,ocp:play,play me a song
en,ocp:play,play me a song of adele
en,ocp:play,can locate some gospel music
en,ocp:play,i want to listen to some gospel music
en,ocp:play,can you play my last song
en,ocp:play,play the song by michael jackson
en,ocp:play,play the song from last night at six p. m.
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,tell me something funny
en,ocp:play,i want to hear radio head please
en,ocp:play,i want to hear the songs of adele
en,ocp:play,play enrique iglesias song after this one
en,ocp:play,play the latest songs by senelena gomez after this one
en,ocp:play,play music i have liked
en,ocp:play,play all the latest pop songs
en,ocp:play,play happy playlist next
en,ocp:play,play song from my trance list
en,ocp:play,listen to girl from impanema by frank sinatra
en,ocp:play,stream all songs from rock
en,ocp:play,add shape of you to the current queue
en,ovos-skill-hello-world.openvoiceos:Greetings.intent,hey how are you
en,ocp:play,play new gaga playlist
en,ocp:play,start new lady gaga playlist
en,ocp:play,play lady gaga starting with poker face
en,ocp:play,play some music
en,ocp:play,go to pandora find twenty one pilots radio play please
en,ocp:play,google music find me some enya to listen to
en,ocp:play,play newest bob dylan playlist
en,ocp:play,play the newest bob dylan playlist
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,i would like a joke
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,give me a joke
en,ovos-skill-icanhazdadjokes.openvoiceos:joke.intent,a joke please
en,ocp:play,play r. & b. music
en,ocp:play,play r. & b.
en,ocp:play,r. & b. music
en,ocp:play,play crystal lewis's beauty of the cross for me
en,ocp:play,play kari jobe for me
en,ocp:play,play some tunes for me
en,ocp:play,play some calming music for me
